gender,education,income
male,6,27964.155726768895
female,10,32660.449114215826
female,8,29997.90715154562
female,4,22471.18308244783
female,10,33713.58481169803
female,8,28609.14833979027
female,7,26499.01677735715
female,9,31624.786339284008
male,11,33279.39447037024
male,8,32325.63122811476
female,7,29771.036547502103
female,9,28947.438811627653
male,5,28135.094394347478
female,11,34103.73347022084
female,8,29841.76319557194
female,9,31539.242129011534
male,7,31375.127315019992
male,6,29585.21885244089
male,7,29803.103684400598
female,13,35438.63756599156
female,12,34399.72363470867
male,11,34121.09638733265
female,9,31170.16929653816
male,8,31598.005646439073
male,8,30578.45078178498
female,10,32741.31409431855
male,8,30227.681304071477
male,9,31730.242306272783
male,8,31208.103997705468
female,12,34575.07112517284
male,12,35032.00677749865
male,11,34089.29245582396
female,7,28241.797257810158
male,9,34088.24414478813
male,7,29625.542044380385
male,5,30078.089464409968
female,9,30816.664166145758
male,9,32335.562115220604
female,7,28204.721811676765
female,7,27293.298038959776
male,8,33645.310645394224
male,8,30455.216941402876
female,5,25560.62580749668
male,10,34711.395269009176
female,10,31127.853851141877
male,7,30933.597569181682
female,7,27271.660655233354
female,8,30105.61179872914
female,8,30352.503507460067
female,8,29065.342301321656
male,7,31689.49901103747
female,11,34866.84849264116
male,11,33821.61108098106
female,8,27380.24019726518
female,7,27523.98080320889
female,8,27707.692995014346
female,6,28908.76676090695
male,8,32074.559533331194
male,11,34619.641237362055
male,7,29809.14519659847
male,8,33331.20574699237
male,8,32033.867286832832
female,8,30823.48008197109
male,9,32613.105310575516
male,12,35500.09822945932
male,5,30180.837390045035
female,8,30888.52382579157
female,10,32617.244680411965
female,11,31735.67444375034
female,6,25177.40975311207
female,9,29745.017289985557
female,10,32678.20724926538
female,9,31300.18091682402
female,8,30210.127535454892
male,12,34795.35819159553
female,8,31005.10001173516
female,6,27758.57241148233
male,10,32488.75300797421
male,9,32480.023349084495
female,6,28539.78612694526
female,6,27572.00881379612
male,5,29191.391405127135
male,9,31982.518653373292
female,8,30542.762251543147
female,9,31861.137365387567
female,8,29757.027895904273
female,11,35356.43811652481
female,10,29504.165292713376
male,9,32837.40926796813
female,5,25501.655452757368
male,9,31680.119319771784
female,11,33371.89997137347
female,10,30803.02170703499
female,7,29014.44417165507
female,5,24917.399482445584
female,8,28634.23939012857
female,6,27263.914614703783
male,8,32484.59431310356
female,12,34961.840909282924
male,12,34970.31945759475
